"Altitude" "TempAnn" "TempDayRng" "Isotherm" "TempSeas" "TempMax" "TempMin" "TempAnnRng" "PrecAnn" "PrecWetP" "PrecDryP" "PrecSeas" "WaterDefDur" "WaterDefSev" "WaterExcDur" "WaterExcSev" "HyperSeas" "DaysFrost" "CloudItcp" "GrassCover" "Rockiness" "Sandiness" "SoilDrain" "SoilWaterStorage" "SoilFert"
"AtlMG160" 1036 18.7 11.4 65 196 26.5 9 17.5 1564 329 14 85 100 51 185 742 0 1 101 85 80 85 5 11 5
"AtlMG161" 1325 17.9 11.9 67 192 25.8 8 17.8 1551 340 13 88 105 49 180 750 0 3 128 90 80 85 5 11 5
"AtlMG162" 1285 17.6 11.4 66 192 25.3 8 17.3 1582 330 16 85 95 35 180 754 0 3 127 85 80 85 5 11 5
"AtlMG163" 1236 17.7 11.2 64 199 25.4 8 17.4 1580 321 17 83 95 35 185 745 0 2 122 90 80 85 5 11 5
"AtlMG164" 1437 17.9 12.1 67 187 25.8 7.8 18 1554 336 13 88 110 52 180 758 0 3 140 85 80 85 5 11 5
"AtlMG165" 1584 16.2 11.5 66 191 24 6.7 17.3 1637 346 14 86 95 30 190 811 0 6 162 85 80 85 5 11 5
"AtlMG166" 1914 14.4 11.1 63 215 22.1 4.5 17.6 1651 339 16 85 85 16 190 819 0 53 198 90 80 85 5 11 5
"AtlMG167" 1506 17.1 12.1 66 195 25 6.8 18.2 1569 347 13 90 105 46 180 776 0 5 148 90 80 85 5 11 5
"CerMG029" 631 22.5 12.8 69 189 30.3 11.8 18.5 1150 289 1 98 150 150 160 443 41 0 0 0 5 65 80 73 37
"CerMG030" 613 21.7 12.8 66 200 30.1 10.8 19.3 1281 269 7 90 135 114 170 531 40 0 0 0 20 45 80 74 37
"CerMG031" 691 21.4 12.4 66 193 29.8 11 18.8 1470 321 8 89 130 100 185 695 43 0 0 0 20 85 80 64 37
"CerMG032" 807 20.6 11.8 66 190 28.8 10.8 18 1529 325 9 88 125 89 190 742 43 0 0 0 20 65 80 69 17
"CerMG034" 915 19.6 11.8 65 192 27.8 9.7 18.1 1536 327 9 88 125 81 190 748 0 0 0 5 20 55 20 41 87
"CerMG046" 749 21 11.7 65 190 29.4 11.5 17.9 1266 276 8 91 135 111 170 518 0 0 0 90 20 55 20 41 17
"CerMG052" 980 20.5 11.2 64 178 29 11.6 17.4 1369 312 7 91 130 100 180 603 0 0 0 85 45 55 5 28 17
"CerMG053" 711 21.4 11.9 65 196 29.8 11.6 18.2 1264 269 7 92 135 119 170 521 0 0 0 85 45 55 5 28 17
"CerMG054" 717 21.4 12.3 65 193 29.8 11 18.8 1377 294 7 89 135 106 180 616 0 0 0 90 45 65 5 25 5
"CerMG055" 866 21 12.4 66 195 29.3 10.4 18.9 1452 326 7 90 130 98 185 683 0 0 0 85 45 65 5 25 5
"CerMG056" 821 20.4 12 66 195 28.6 10.3 18.3 1508 338 8 90 125 90 185 729 0 0 0 95 45 65 5 25 5
"CerMG057" 736 22.5 12.8 68 195 30.4 11.7 18.7 1179 308 1 99 150 145 165 471 0 0 0 90 45 65 5 25 17
"CerMG058" 1037 19.8 11.6 64 188 28.3 10.2 18.1 1382 313 6 91 125 93 180 622 0 0 90 85 45 55 5 28 17
"CerMG069" 516 23.3 13.3 69 199 31.2 11.8 19.4 1152 289 0 99 155 153 160 455 0 0 0 0 20 65 65 61 17
"CerMG109" 597 22.6 13 68 203 30.7 11.6 19.1 1110 282 3 98 155 146 155 417 0 0 0 5 20 55 35 49 87
