;Long10;Lat10;Biome;spp.alpha;w.endemism
Cell_435;-56.16078704;5.08988246;Tropical Moist Forest;2;0.002450644
Cell_436;-55.16078704;5.08988246;Tropical Moist Forest;5;0.015721147
Cell_438;-53.16078704;5.08988246;Tropical Moist Forest;3;0.018370381
Cell_472;-76.16078704;4.08988246;Tropical Moist Forest;4;0.021832824
Cell_473;-75.16078704;4.08988246;Tropical Dry Forest;4;0.010940442
Cell_474;-74.16078704;4.08988246;Andean Grasslands;7;0.131139575
Cell_475;-73.16078704;4.08988246;Savanna;6;0.057720414
Cell_477;-71.16078704;4.08988246;Savanna;3;0.011401362
Cell_487;-61.16078704;4.08988246;Savanna;2;0.002450644
Cell_489;-59.16078704;4.08988246;Tropical Moist Forest;5;0.08397186
Cell_494;-54.16078704;4.08988246;Tropical Moist Forest;2;0.003941108
Cell_496;-52.16078704;4.08988246;Tropical Moist Forest;2;0.007418556
Cell_529;-76.16078704;3.08988246;Andean Grasslands;2;0.008139755
Cell_530;-75.16078704;3.08988246;Tropical Dry Forest;2;0.096616853
Cell_531;-74.16078704;3.08988246;Tropical Moist Forest;6;0.043884352
Cell_532;-73.16078704;3.08988246;Savanna;2;0.00525481
Cell_533;-72.16078704;3.08988246;Savanna;2;0.042336444
Cell_543;-62.16078704;3.08988246;Tropical Moist Forest;3;0.004361484
Cell_544;-61.16078704;3.08988246;Savanna;5;0.02186023
Cell_545;-60.16078704;3.08988246;Savanna;8;0.126326957
Cell_546;-59.16078704;3.08988246;Tropical Moist Forest;9;0.124970577
Cell_588;-74.16078704;2.08988246;Tropical Moist Forest;4;0.058235283
Cell_589;-73.16078704;2.08988246;Tropical Moist Forest;3;0.053198228
Cell_590;-72.16078704;2.08988246;Tropical Moist Forest;3;0.053198228
Cell_601;-61.16078704;2.08988246;Savanna;2;0.075678968
Cell_602;-60.16078704;2.08988246;Tropical Moist Forest;2;0.014542932
Cell_603;-59.16078704;2.08988246;Tropical Moist Forest;5;0.026066135
Cell_606;-56.16078704;2.08988246;Tropical Moist Forest;5;0.015721147
Cell_611;-51.16078704;2.08988246;Tropical Moist Forest;5;0.031539448
Cell_668;-51.16078704;1.08988246;Savanna;3;0.020921053
Cell_697;-79.16078704;0.08988246;Tropical Moist Forest;2;0.003261606
Cell_725;-51.16078704;0.08988246;Savanna;4;0.013280203
Cell_756;-77.16078704;-0.91011754;Tropical Moist Forest;2;0.015363594
Cell_784;-49.16078704;-0.91011754;Tropical Moist Forest;2;0.00525481
Cell_785;-48.16078704;-0.91011754;Tropical Moist Forest;3;0.021350375
Cell_786;-47.16078704;-0.91011754;Tropical Moist Forest;4;0.02456296
Cell_810;-80.16078704;-1.91011754;Tropical Dry Forest;4;0.15189767
Cell_811;-79.16078704;-1.91011754;Tropical Moist Forest;2;0.128762997
Cell_812;-78.16078704;-1.91011754;Tropical Moist Forest;2;0.027024739
Cell_842;-48.16078704;-1.91011754;Tropical Moist Forest;2;0.013300453
Cell_867;-80.16078704;-2.91011754;Tropical Moist Forest;6;0.206667319
Cell_886;-61.16078704;-2.91011754;Tropical Moist Forest;2;0.00455839
Cell_887;-60.16078704;-2.91011754;Tropical Moist Forest;2;0.00455839
Cell_892;-55.16078704;-2.91011754;Tropical Moist Forest;3;0.007009034
Cell_899;-48.16078704;-2.91011754;Tropical Moist Forest;2;0.005784914
Cell_903;-44.16078704;-2.91011754;Tropical Moist Forest;5;0.025281678
Cell_905;-42.16078704;-2.91011754;Tropical Moist Forest;3;0.006391752
Cell_924;-80.16078704;-3.91011754;Tropical Moist Forest;3;0.14998683
Cell_925;-79.16078704;-3.91011754;Tropical Moist Forest;7;0.277450102
Cell_934;-70.16078704;-3.91011754;Tropical Moist Forest;2;0.003261606
Cell_960;-44.16078704;-3.91011754;Tropical Moist Forest;2;0.00525481
Cell_962;-42.16078704;-3.91011754;Tropical Moist Forest;4;0.032391678
Cell_963;-41.16078704;-3.91011754;Tropical Dry Forest;3;0.022284085
Cell_964;-40.16078704;-3.91011754;Tropical Dry Forest;3;0.017130319
Cell_965;-39.16078704;-3.91011754;Tropical Dry Forest;3;0.040756822
Cell_996;-65.16078704;-4.91011754;Tropical Moist Forest;2;0.00379171
Cell_998;-63.16078704;-4.91011754;Tropical Moist Forest;2;0.003261606
Cell_1012;-49.16078704;-4.91011754;Tropical Moist Forest;2;0.003950807
Cell_1014;-47.16078704;-4.91011754;Tropical Moist Forest;2;0.004471212
Cell_1018;-43.16078704;-4.91011754;Tropical Moist Forest;6;0.032802355
Cell_1019;-42.16078704;-4.91011754;Tropical Moist Forest;5;0.025711859
Cell_1020;-41.16078704;-4.91011754;Tropical Dry Forest;4;0.204394164
Cell_1068;-50.16078704;-5.91011754;Tropical Moist Forest;5;0.025097878
Cell_1070;-48.16078704;-5.91011754;Tropical Moist Forest;3;0.016463471
Cell_1078;-40.16078704;-5.91011754;Tropical Dry Forest;2;0.01257193
Cell_1079;-39.16078704;-5.91011754;Tropical Dry Forest;4;0.019046182
Cell_1080;-38.16078704;-5.91011754;Tropical Dry Forest;6;0.064509353
Cell_1081;-37.16078704;-5.91011754;Tropical Dry Forest;7;0.162030516
Cell_1082;-36.16078704;-5.91011754;Tropical Dry Forest;3;0.06587072
Cell_1083;-35.16078704;-5.91011754;Tropical Moist Forest;4;0.025169797
Cell_1097;-78.16078704;-6.91011754;Tropical Moist Forest;4;0.337809235
Cell_1125;-50.16078704;-6.91011754;Tropical Moist Forest;3;0.007829696
Cell_1127;-48.16078704;-6.91011754;Tropical Moist Forest;4;0.009653358
Cell_1128;-47.16078704;-6.91011754;Savanna;6;0.044904342
Cell_1129;-46.16078704;-6.91011754;Savanna;2;0.009966182
Cell_1130;-45.16078704;-6.91011754;Savanna;5;0.018259074
Cell_1132;-43.16078704;-6.91011754;Savanna;2;0.003950807
Cell_1133;-42.16078704;-6.91011754;Savanna;3;0.018016105
Cell_1134;-41.16078704;-6.91011754;Tropical Dry Forest;2;0.00455839
Cell_1136;-39.16078704;-6.91011754;Tropical Dry Forest;8;0.064843989
Cell_1137;-38.16078704;-6.91011754;Tropical Dry Forest;7;0.062227037
Cell_1138;-37.16078704;-6.91011754;Tropical Dry Forest;11;0.124294666
Cell_1139;-36.16078704;-6.91011754;Tropical Dry Forest;5;0.035411411
Cell_1140;-35.16078704;-6.91011754;Tropical Moist Forest;5;0.018998673
Cell_1185;-47.16078704;-7.91011754;Savanna;2;0.002450644
Cell_1187;-45.16078704;-7.91011754;Savanna;3;0.011678603
Cell_1193;-39.16078704;-7.91011754;Tropical Dry Forest;6;0.026726469
Cell_1194;-38.16078704;-7.91011754;Tropical Dry Forest;2;0.015199335
Cell_1195;-37.16078704;-7.91011754;Tropical Dry Forest;4;0.069779786
Cell_1196;-36.16078704;-7.91011754;Tropical Moist Forest;5;0.044887861
Cell_1197;-35.16078704;-7.91011754;Tropical Moist Forest;3;0.014294865
Cell_1215;-74.16078704;-8.91011754;Tropical Moist Forest;6;0.724295334
Cell_1225;-64.16078704;-8.91011754;Tropical Moist Forest;2;0.00192054
Cell_1247;-42.16078704;-8.91011754;Tropical Dry Forest;3;0.050546663
Cell_1248;-41.16078704;-8.91011754;Tropical Dry Forest;3;0.028245761
Cell_1249;-40.16078704;-8.91011754;Tropical Dry Forest;10;0.103166277
Cell_1250;-39.16078704;-8.91011754;Tropical Dry Forest;3;0.018301236
Cell_1251;-38.16078704;-8.91011754;Tropical Dry Forest;7;0.144051336
Cell_1252;-37.16078704;-8.91011754;Tropical Dry Forest;4;0.025606792
Cell_1253;-36.16078704;-8.91011754;Tropical Moist Forest;4;0.015608568
Cell_1254;-35.16078704;-8.91011754;Tropical Moist Forest;2;0.00975662
Cell_1281;-65.16078704;-9.91011754;Tropical Moist Forest;3;0.040275578
Cell_1283;-63.16078704;-9.91011754;Tropical Moist Forest;2;0.039185401
Cell_1297;-49.16078704;-9.91011754;Tropical Moist Forest;2;0.00379171
Cell_1303;-43.16078704;-9.91011754;Tropical Dry Forest;7;0.302901401
Cell_1304;-42.16078704;-9.91011754;Tropical Dry Forest;5;0.038058961
Cell_1305;-41.16078704;-9.91011754;Tropical Dry Forest;11;0.628488958
Cell_1306;-40.16078704;-9.91011754;Tropical Dry Forest;3;0.050546663
Cell_1307;-39.16078704;-9.91011754;Tropical Dry Forest;2;0.019185508
Cell_1308;-38.16078704;-9.91011754;Tropical Dry Forest;5;0.032851572
Cell_1309;-37.16078704;-9.91011754;Tropical Dry Forest;3;0.01448277
Cell_1310;-36.16078704;-9.91011754;Tropical Moist Forest;2;0.007882215
Cell_1335;-68.16078704;-10.91011754;Tropical Moist Forest;2;0.007418556
Cell_1337;-66.16078704;-10.91011754;Tropical Moist Forest;2;0.014012828
Cell_1349;-54.16078704;-10.91011754;Tropical Moist Forest;2;0.003271306
Cell_1356;-47.16078704;-10.91011754;Savanna;2;0.017273602
Cell_1357;-46.16078704;-10.91011754;Savanna;2;0.002450644
Cell_1358;-45.16078704;-10.91011754;Savanna;4;0.019087459
Cell_1360;-43.16078704;-10.91011754;Savanna;11;0.131991583
Cell_1361;-42.16078704;-10.91011754;Tropical Dry Forest;2;0.086804854
Cell_1362;-41.16078704;-10.91011754;Tropical Dry Forest;5;0.04029049
Cell_1363;-40.16078704;-10.91011754;Tropical Dry Forest;8;0.093146748
Cell_1364;-39.16078704;-10.91011754;Tropical Dry Forest;3;0.028245761
Cell_1365;-38.16078704;-10.91011754;Tropical Dry Forest;7;0.050721379
Cell_1366;-37.16078704;-10.91011754;Tropical Moist Forest;10;0.090766944
Cell_1412;-48.16078704;-11.91011754;Savanna;2;0.017273602
Cell_1413;-47.16078704;-11.91011754;Savanna;2;0.010486587
Cell_1414;-46.16078704;-11.91011754;Savanna;2;0.009966182
Cell_1415;-45.16078704;-11.91011754;Savanna;4;0.014273967
Cell_1417;-43.16078704;-11.91011754;Tropical Dry Forest;6;0.039529925
Cell_1418;-42.16078704;-11.91011754;Savanna;4;0.095138044
Cell_1419;-41.16078704;-11.91011754;Tropical Dry Forest;7;0.205844672
Cell_1420;-40.16078704;-11.91011754;Tropical Dry Forest;4;0.087346429
Cell_1421;-39.16078704;-11.91011754;Tropical Dry Forest;5;0.024285525
Cell_1422;-38.16078704;-11.91011754;Tropical Moist Forest;5;0.02199062
Cell_1465;-52.16078704;-12.91011754;Tropical Moist Forest;7;0.063773799
Cell_1469;-48.16078704;-12.91011754;Savanna;7;0.028939237
Cell_1470;-47.16078704;-12.91011754;Savanna;3;0.006391752
Cell_1471;-46.16078704;-12.91011754;Savanna;4;0.020457049
Cell_1473;-44.16078704;-12.91011754;Tropical Dry Forest;2;0.003271306
Cell_1474;-43.16078704;-12.91011754;Tropical Dry Forest;6;0.072232391
Cell_1475;-42.16078704;-12.91011754;Tropical Dry Forest;11;0.186480097
Cell_1476;-41.16078704;-12.91011754;Tropical Dry Forest;13;0.273446401
Cell_1477;-40.16078704;-12.91011754;Tropical Dry Forest;6;0.063781894
Cell_1478;-39.16078704;-12.91011754;Tropical Moist Forest;6;0.051310264
Cell_1507;-67.16078704;-13.91011754;Savanna;2;0.007418556
Cell_1509;-65.16078704;-13.91011754;Tropical Moist Forest;2;0.007418556
Cell_1513;-61.16078704;-13.91011754;Tropical Dry Forest;5;0.046808178
Cell_1517;-57.16078704;-13.91011754;Savanna;2;0.003950807
Cell_1518;-56.16078704;-13.91011754;Savanna;3;0.026416023
Cell_1522;-52.16078704;-13.91011754;Savanna;5;0.038708542
Cell_1525;-49.16078704;-13.91011754;Savanna;5;0.049866509
Cell_1526;-48.16078704;-13.91011754;Savanna;6;0.145725288
Cell_1527;-47.16078704;-13.91011754;Savanna;7;0.70366466
Cell_1528;-46.16078704;-13.91011754;Savanna;2;0.010486587
Cell_1529;-45.16078704;-13.91011754;Savanna;2;0.002450644
Cell_1530;-44.16078704;-13.91011754;Tropical Dry Forest;5;0.022323889
Cell_1531;-43.16078704;-13.91011754;Tropical Dry Forest;2;0.01357653
Cell_1532;-42.16078704;-13.91011754;Tropical Dry Forest;13;0.642487258
Cell_1533;-41.16078704;-13.91011754;Tropical Dry Forest;5;0.179752005
Cell_1534;-40.16078704;-13.91011754;Tropical Dry Forest;4;0.046769869
Cell_1535;-39.16078704;-13.91011754;Tropical Moist Forest;2;0.004988712
Cell_1562;-69.16078704;-14.91011754;Andean Grasslands;2;0.008139755
Cell_1570;-61.16078704;-14.91011754;Tropical Dry Forest;6;0.063778423
Cell_1571;-60.16078704;-14.91011754;Tropical Dry Forest;2;0.021028941
Cell_1573;-58.16078704;-14.91011754;Savanna;2;0.005291874
Cell_1575;-56.16078704;-14.91011754;Savanna;3;0.039235612
Cell_1579;-52.16078704;-14.91011754;Savanna;9;0.086234172
Cell_1583;-48.16078704;-14.91011754;Savanna;4;0.020457049
Cell_1584;-47.16078704;-14.91011754;Savanna;6;0.019446414
Cell_1585;-46.16078704;-14.91011754;Savanna;5;0.029154904
Cell_1587;-44.16078704;-14.91011754;Tropical Dry Forest;2;0.042048182
Cell_1588;-43.16078704;-14.91011754;Tropical Dry Forest;3;0.020938341
Cell_1589;-42.16078704;-14.91011754;Tropical Dry Forest;4;0.131180903
Cell_1592;-39.16078704;-14.91011754;Tropical Moist Forest;4;0.012154362
Cell_1620;-68.16078704;-15.91011754;Andean Grasslands;4;0.040026046
Cell_1626;-62.16078704;-15.91011754;Tropical Dry Forest;5;0.023390087
Cell_1630;-58.16078704;-15.91011754;Savanna;4;0.010950141
Cell_1631;-57.16078704;-15.91011754;Savanna;3;0.023868397
Cell_1632;-56.16078704;-15.91011754;Savanna;6;0.039075076
Cell_1636;-52.16078704;-15.91011754;Savanna;7;0.075339783
Cell_1637;-51.16078704;-15.91011754;Savanna;2;0.010486587
Cell_1638;-50.16078704;-15.91011754;Savanna;2;0.004471212
Cell_1639;-49.16078704;-15.91011754;Savanna;3;0.019714546
Cell_1640;-48.16078704;-15.91011754;Savanna;10;0.541319919
Cell_1641;-47.16078704;-15.91011754;Savanna;5;0.022760884
Cell_1643;-45.16078704;-15.91011754;Savanna;2;0.011683588
Cell_1645;-43.16078704;-15.91011754;Savanna;6;0.077440183
Cell_1646;-42.16078704;-15.91011754;Tropical Moist Forest;2;0.002450644
Cell_1649;-39.16078704;-15.91011754;Tropical Moist Forest;6;0.025468068
Cell_1682;-63.16078704;-16.91011754;Tropical Dry Forest;3;0.015211293
Cell_1683;-62.16078704;-16.91011754;Tropical Dry Forest;5;0.018147833
Cell_1684;-61.16078704;-16.91011754;Tropical Dry Forest;3;0.019102144
Cell_1687;-58.16078704;-16.91011754;Savanna;2;0.021957557
Cell_1688;-57.16078704;-16.91011754;Savanna;2;0.007418556
Cell_1689;-56.16078704;-16.91011754;Savanna;4;0.013121106
Cell_1691;-54.16078704;-16.91011754;Savanna;2;0.03355913
Cell_1693;-52.16078704;-16.91011754;Savanna;6;0.065073024
Cell_1695;-50.16078704;-16.91011754;Savanna;2;0.022785771
Cell_1696;-49.16078704;-16.91011754;Savanna;3;0.006088589
Cell_1697;-48.16078704;-16.91011754;Savanna;4;0.021635086
Cell_1698;-47.16078704;-16.91011754;Savanna;3;0.014124532
Cell_1701;-44.16078704;-16.91011754;Savanna;2;0.002450644
Cell_1702;-43.16078704;-16.91011754;Savanna;4;0.047579192
Cell_1706;-39.16078704;-16.91011754;Tropical Moist Forest;4;0.015089607
Cell_1738;-64.16078704;-17.91011754;Tropical Dry Forest;4;0.023159953
Cell_1739;-63.16078704;-17.91011754;Tropical Dry Forest;9;0.060719056
Cell_1743;-59.16078704;-17.91011754;Tropical Dry Forest;2;0.009966182
Cell_1744;-58.16078704;-17.91011754;Tropical Dry Forest;4;0.009740536
Cell_1745;-57.16078704;-17.91011754;Savanna;6;0.038554672
Cell_1747;-55.16078704;-17.91011754;Savanna;4;0.016435412
Cell_1748;-54.16078704;-17.91011754;Savanna;3;0.029078863
Cell_1750;-52.16078704;-17.91011754;Savanna;3;0.026007953
Cell_1752;-50.16078704;-17.91011754;Savanna;5;0.025070793
Cell_1754;-48.16078704;-17.91011754;Savanna;7;0.048135523
Cell_1756;-46.16078704;-17.91011754;Savanna;2;0.010486587
Cell_1758;-44.16078704;-17.91011754;Savanna;11;0.103444574
Cell_1759;-43.16078704;-17.91011754;Tropical Moist Forest;6;0.200343046
Cell_1801;-58.16078704;-18.91011754;Tropical Dry Forest;3;0.012440605
Cell_1802;-57.16078704;-18.91011754;Savanna;11;0.059595596
Cell_1803;-56.16078704;-18.91011754;Savanna;6;0.031171919
Cell_1804;-55.16078704;-18.91011754;Savanna;4;0.017909422
Cell_1805;-54.16078704;-18.91011754;Savanna;6;0.037371755
Cell_1807;-52.16078704;-18.91011754;Savanna;3;0.006391752
Cell_1808;-51.16078704;-18.91011754;Savanna;5;0.023236686
Cell_1810;-49.16078704;-18.91011754;Tropical Moist Forest;2;0.023982773
Cell_1811;-48.16078704;-18.91011754;Savanna;2;0.00416805
Cell_1815;-44.16078704;-18.91011754;Savanna;7;0.114642788
Cell_1816;-43.16078704;-18.91011754;Tropical Moist Forest;7;0.077583318
Cell_1819;-40.16078704;-18.91011754;Tropical Moist Forest;4;0.011971135
Cell_1852;-64.16078704;-19.91011754;Tropical Moist Forest;2;0.003647645
Cell_1854;-62.16078704;-19.91011754;Deserts and Xeric Woodlands;2;0.015038473
Cell_1856;-60.16078704;-19.91011754;Deserts and Xeric Woodlands;3;0.013796049
Cell_1858;-58.16078704;-19.91011754;Savanna;3;0.007829696
Cell_1859;-57.16078704;-19.91011754;Savanna;10;0.050555541
Cell_1860;-56.16078704;-19.91011754;Savanna;8;0.042859787
Cell_1861;-55.16078704;-19.91011754;Savanna;7;0.038409649
Cell_1862;-54.16078704;-19.91011754;Savanna;7;0.048155312
Cell_1864;-52.16078704;-19.91011754;Savanna;4;0.016144995
Cell_1865;-51.16078704;-19.91011754;Tropical Moist Forest;2;0.008769322
Cell_1866;-50.16078704;-19.91011754;Tropical Moist Forest;3;0.010226603
Cell_1867;-49.16078704;-19.91011754;Savanna;3;0.004361484
Cell_1868;-48.16078704;-19.91011754;Savanna;2;0.00379171
Cell_1869;-47.16078704;-19.91011754;Savanna;2;0.00416805
Cell_1870;-46.16078704;-19.91011754;Savanna;2;0.00416805
Cell_1872;-44.16078704;-19.91011754;Tropical Moist Forest;8;0.069668651
Cell_1873;-43.16078704;-19.91011754;Tropical Moist Forest;9;0.203545038
Cell_1874;-42.16078704;-19.91011754;Tropical Moist Forest;3;0.012673366
Cell_1876;-40.16078704;-19.91011754;Tropical Moist Forest;3;0.01098296
Cell_1911;-62.16078704;-20.91011754;Deserts and Xeric Woodlands;3;0.014864131
Cell_1915;-58.16078704;-20.91011754;Deserts and Xeric Woodlands;5;0.021026963
Cell_1917;-56.16078704;-20.91011754;Savanna;10;0.063873102
Cell_1918;-55.16078704;-20.91011754;Savanna;11;0.077258011
Cell_1919;-54.16078704;-20.91011754;Savanna;8;0.042399354
Cell_1921;-52.16078704;-20.91011754;Savanna;7;0.111184227
Cell_1923;-50.16078704;-20.91011754;Tropical Moist Forest;3;0.012407127
Cell_1927;-46.16078704;-20.91011754;Savanna;5;0.055880789
Cell_1929;-44.16078704;-20.91011754;Tropical Moist Forest;3;0.0105807
Cell_1931;-42.16078704;-20.91011754;Tropical Moist Forest;3;0.008853594
Cell_1932;-41.16078704;-20.91011754;Tropical Moist Forest;2;0.003941108
Cell_1972;-58.16078704;-21.91011754;Deserts and Xeric Woodlands;5;0.021635918
Cell_1973;-57.16078704;-21.91011754;Savanna;4;0.015151374
Cell_1974;-56.16078704;-21.91011754;Savanna;5;0.024449271
Cell_1976;-54.16078704;-21.91011754;Tropical Moist Forest;4;0.01515101
Cell_1977;-53.16078704;-21.91011754;Savanna;6;0.019310958
Cell_1978;-52.16078704;-21.91011754;Tropical Moist Forest;4;0.021439489
Cell_1979;-51.16078704;-21.91011754;Tropical Moist Forest;2;0.003637946
Cell_1981;-49.16078704;-21.91011754;Tropical Moist Forest;2;0.01198675
Cell_1982;-48.16078704;-21.91011754;Savanna;9;0.041614402
Cell_1983;-47.16078704;-21.91011754;Savanna;4;0.016045072
Cell_1984;-46.16078704;-21.91011754;Tropical Moist Forest;2;0.046540292
Cell_1988;-42.16078704;-21.91011754;Tropical Moist Forest;3;0.010162298
Cell_1989;-41.16078704;-21.91011754;Tropical Moist Forest;3;0.38883293
Cell_2027;-60.16078704;-22.91011754;Deserts and Xeric Woodlands;3;0.01200073
Cell_2028;-59.16078704;-22.91011754;Deserts and Xeric Woodlands;3;0.006478929
Cell_2029;-58.16078704;-22.91011754;Deserts and Xeric Woodlands;9;0.450712621
Cell_2030;-57.16078704;-22.91011754;Deserts and Xeric Woodlands;6;0.023430008
Cell_2031;-56.16078704;-22.91011754;Tropical Moist Forest;2;0.002450644
Cell_2033;-54.16078704;-22.91011754;Tropical Moist Forest;4;0.02253843
Cell_2034;-53.16078704;-22.91011754;Tropical Moist Forest;8;0.03907054
Cell_2038;-49.16078704;-22.91011754;Savanna;2;0.008139755
Cell_2039;-48.16078704;-22.91011754;Savanna;8;0.050898593
Cell_2040;-47.16078704;-22.91011754;Tropical Moist Forest;7;0.029057879
Cell_2041;-46.16078704;-22.91011754;Tropical Moist Forest;3;0.009674256
Cell_2042;-45.16078704;-22.91011754;Tropical Moist Forest;2;0.012551732
Cell_2045;-42.16078704;-22.91011754;Tropical Moist Forest;4;0.014108404
Cell_2085;-59.16078704;-23.91011754;Deserts and Xeric Woodlands;2;0.010697472
Cell_2086;-58.16078704;-23.91011754;Deserts and Xeric Woodlands;2;0.010697472
Cell_2087;-57.16078704;-23.91011754;Deserts and Xeric Woodlands;3;0.015771276
Cell_2089;-55.16078704;-23.91011754;Tropical Moist Forest;2;0.007731054
Cell_2090;-54.16078704;-23.91011754;Tropical Moist Forest;2;0.022260355
Cell_2094;-50.16078704;-23.91011754;Tropical Moist Forest;3;0.010060295
Cell_2097;-47.16078704;-23.91011754;Tropical Moist Forest;3;0.013394566
Cell_2141;-60.16078704;-24.91011754;Deserts and Xeric Woodlands;2;0.009400688
Cell_2143;-58.16078704;-24.91011754;Deserts and Xeric Woodlands;6;0.065629755
Cell_2144;-57.16078704;-24.91011754;Deserts and Xeric Woodlands;6;0.024591368
Cell_2145;-56.16078704;-24.91011754;Tropical Moist Forest;3;0.011368999
Cell_2151;-50.16078704;-24.91011754;Savanna;2;0.003647645
Cell_2152;-49.16078704;-24.91011754;Tropical Moist Forest;3;0.079316914
Cell_2153;-48.16078704;-24.91011754;Tropical Moist Forest;3;0.010050595
Cell_2200;-58.16078704;-25.91011754;Deserts and Xeric Woodlands;2;0.008049922
Cell_2201;-57.16078704;-25.91011754;Deserts and Xeric Woodlands;4;0.014620906
Cell_2202;-56.16078704;-25.91011754;Tropical Moist Forest;2;0.003637946
Cell_2204;-54.16078704;-25.91011754;Tropical Moist Forest;2;0.009448459
Cell_2208;-50.16078704;-25.91011754;Tropical Moist Forest;2;0.008139755
Cell_2250;-65.16078704;-26.91011754;Tropical Moist Forest;2;0.010697472
Cell_2255;-60.16078704;-26.91011754;Deserts and Xeric Woodlands;2;0.010368904
Cell_2256;-59.16078704;-26.91011754;Deserts and Xeric Woodlands;3;0.007819996
Cell_2257;-58.16078704;-26.91011754;Deserts and Xeric Woodlands;7;0.029149758
Cell_2258;-57.16078704;-26.91011754;Deserts and Xeric Woodlands;2;0.009448459
Cell_2259;-56.16078704;-26.91011754;Tropical Moist Forest;2;0.009448459
Cell_2260;-55.16078704;-26.91011754;Tropical Moist Forest;5;0.114005507
Cell_2313;-59.16078704;-27.91011754;Deserts and Xeric Woodlands;7;0.029149758
Cell_2314;-58.16078704;-27.91011754;Deserts and Xeric Woodlands;6;0.025888151
Cell_2315;-57.16078704;-27.91011754;Deserts and Xeric Woodlands;5;0.021329762
Cell_2316;-56.16078704;-27.91011754;Pampas Prairies;4;0.019409222
Cell_2317;-55.16078704;-27.91011754;Tropical Moist Forest;2;0.009448459
Cell_2322;-50.16078704;-27.91011754;Tropical Moist Forest;2;0.008139755
Cell_2370;-59.16078704;-28.91011754;Pampas Prairies;6;0.025888151
Cell_2371;-58.16078704;-28.91011754;Deserts and Xeric Woodlands;4;0.110357862
Cell_2372;-57.16078704;-28.91011754;Pampas Prairies;4;0.112084967
Cell_2373;-56.16078704;-28.91011754;Pampas Prairies;2;0.009448459
Cell_2374;-55.16078704;-28.91011754;Pampas Prairies;2;0.003647645
Cell_2377;-52.16078704;-28.91011754;Tropical Moist Forest;2;0.009777028
Cell_2427;-59.16078704;-29.91011754;Deserts and Xeric Woodlands;3;0.018418826
Cell_2428;-58.16078704;-29.91011754;Deserts and Xeric Woodlands;3;0.012289443
Cell_2429;-57.16078704;-29.91011754;Pampas Prairies;4;0.020329666
Cell_2430;-56.16078704;-29.91011754;Pampas Prairies;2;0.008059622
Cell_2431;-55.16078704;-29.91011754;Pampas Prairies;2;0.007731054
Cell_2433;-53.16078704;-29.91011754;Tropical Moist Forest;3;0.017110122
Cell_2435;-51.16078704;-29.91011754;Pampas Prairies;2;0.009448459
Cell_2436;-50.16078704;-29.91011754;Tropical Moist Forest;2;0.003637946
Cell_2479;-64.16078704;-30.91011754;Deserts and Xeric Woodlands;2;0.004568089
